"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"UF",12,0.718,0.663,0.634,0.694
2015,"UF",27,0.666,0.631,0.594,0.666
2015,"UF",16,0.728,0.708,0.676,0.742
2015,"UF",13,0.711,0.674,0.649,0.701
2015,"UF",29,0.701,0.66,0.623,0.697
2015,"UF",23,0.715,0.682,0.65,0.713
2015,"UF",53,0.837,0.824,0.797,0.851
2015,"UF",32,0.776,0.74,0.707,0.772
2015,"UF",52,0.755,0.735,0.704,0.765
2015,"UF",21,0.669,0.639,0.603,0.67
2015,"UF",50,0.74,0.729,0.7,0.757
2015,"UF",51,0.77,0.725,0.695,0.756
2015,"UF",31,0.774,0.731,0.701,0.759
2015,"UF",25,0.703,0.658,0.618,0.69
2015,"UF",41,0.786,0.749,0.719,0.776
2015,"UF",15,0.689,0.646,0.612,0.678
2015,"UF",26,0.722,0.673,0.637,0.706
2015,"UF",22,0.689,0.646,0.606,0.676
2015,"UF",33,0.785,0.761,0.734,0.789
2015,"UF",24,0.733,0.684,0.646,0.716
2015,"UF",43,0.787,0.746,0.716,0.772
2015,"UF",11,0.706,0.69,0.659,0.721
2015,"UF",14,0.748,0.707,0.676,0.739
2015,"UF",42,0.809,0.774,0.747,0.798
2015,"UF",35,0.823,0.783,0.759,0.807
2015,"UF",28,0.697,0.665,0.627,0.697
2015,"UF",17,0.73,0.699,0.664,0.724
2015,"MUNICIPIO",5200050,NA,0.708,NA,NA
2015,"MUNICIPIO",3100104,NA,0.689,NA,NA
2015,"MUNICIPIO",5200100,NA,0.689,NA,NA
2015,"MUNICIPIO",3100203,NA,0.698,NA,NA
2015,"MUNICIPIO",1500107,NA,0.628,NA,NA
2015,"MUNICIPIO",2300101,NA,0.628,NA,NA
2015,"MUNICIPIO",2900108,NA,0.603,NA,NA
2015,"MUNICIPIO",2900207,NA,0.575,NA,NA
2015,"MUNICIPIO",4100103,NA,0.687,NA,NA
2015,"MUNICIPIO",4200051,NA,0.694,NA,NA
2015,"MUNICIPIO",1500131,NA,0.622,NA,NA
2015,"MUNICIPIO",4200101,NA,0.696,NA,NA
2015,"MUNICIPIO",3100302,NA,0.654,NA,NA
2015,"MUNICIPIO",2600054,NA,0.679,NA,NA
2015,"MUNICIPIO",1700251,NA,0.665,NA,NA
2015,"MUNICIPIO",3100401,NA,0.63,NA,NA
