"CODMUNRES","ANO","NIVEL","TO","TORC","TORCR","TO_NN","TO_N","TO_CBI","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
210000,2015,"MUNICIPIO",56,0,27,26,30,3,2,9,4,12,42,10,0,0,3,3,0,53,1,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
210005,2015,"MUNICIPIO",547,0,540,85,462,28,62,180,25,167,334,213,0,0,39,38,1,504,1,10,1,0,25,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
210010,2015,"MUNICIPIO",32,0,30,4,28,2,4,14,1,7,18,14,0,0,4,3,1,28,0,0,0,0,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
210015,2015,"MUNICIPIO",69,0,65,7,62,1,4,23,10,24,38,31,0,0,3,3,0,65,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210020,2015,"MUNICIPIO",80,0,79,13,67,4,14,23,10,16,51,29,0,0,4,4,0,75,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210030,2015,"MUNICIPIO",101,0,99,13,88,10,10,21,9,38,56,45,0,0,3,3,0,98,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
210040,2015,"MUNICIPIO",25,0,24,4,21,0,6,7,0,8,10,15,0,0,2,2,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210043,2015,"MUNICIPIO",115,0,105,17,98,7,10,30,11,40,72,43,0,0,9,8,1,106,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210047,2015,"MUNICIPIO",129,0,128,13,116,1,18,59,8,30,67,62,0,0,6,5,1,123,1,0,0,0,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
210050,2015,"MUNICIPIO",38,0,38,6,32,3,4,16,1,8,18,20,0,0,2,2,0,35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210055,2015,"MUNICIPIO",41,0,38,9,32,1,1,9,9,12,23,18,0,0,1,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210060,2015,"MUNICIPIO",180,0,180,33,147,12,19,52,21,43,104,76,0,0,15,14,1,165,0,2,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
