"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
2015,"UF",21,117564,80788,84116,1700,28356,34257,27700,16858,6937,1600,139,17,115847,19,24,29,24.4342570855024,6.27824182247947,1809,10126,37390,54527,3348,6902,10421,4867,221,94281,1318,53812,62379,73717,43847,115506,1730,89,496,1202,11107,91717,7363,12890,91651,7359,38,39,40,38.7866845397676,2.43266436717562,486,33028,18568,15188,39285,32550,85014,66332,50921,110436,3316,348,28295,6442,34832,5329,17833,1224,1745,1703,348,11350,114223,631,2461,230,0,60239,57296,10662,4893,222,95281,1453,8437,100606,8390,2950,3270,3600,3245.57167917025,563.779670197306,8155,84149,14823,1440,102461,9.23855400814237,0.924467957460587,615,114674
2015,"MUNICIPIO",210000,8,4,4,0,3,1,2,2,0,0,0,0,8,18.5,23,29,23.625,6.73874723414629,0,2,3,0,0,1,1,0,0,5,0,2,5,4,4,8,0,0,0,0,0,8,0,0,8,0,38.75,39,39.25,39,1.19522860933439,0,1,1,2,2,8,0,4,4,7,0,0,4,0,2,1,0,0,0,0,0,0,8,0,0,0,0,4,4,1,0,0,5,1,0,8,0,2907.5,3170,3431.25,3209.875,324.678054826184,0,8,0,0,8,9.375,0.517549169506766,0,8
2015,"MUNICIPIO",210005,2085,1838,1942,32,476,570,535,323,130,18,1,0,2053,20,24,29,24.5961630695444,6.24998922473376,24,119,664,1074,68,125,212,121,6,1725,5,1341,735,1255,830,2036,40,0,16,33,221,1595,200,270,1595,200,38,39,40,38.7418886198547,2.72543882342351,4,608,406,283,744,597,1488,978,1101,2017,43,4,522,180,465,136,425,15,24,40,4,230,2073,5,2,3,0,1057,1028,212,121,6,1725,5,162,1745,178,3000,3300,3620,3251.99184652278,627.666781584849,143,1475,328,35,2018,9.28787140769605,0.944582376765995,15,2065
2015,"MUNICIPIO",210010,102,84,84,1,30,27,17,11,12,4,0,0,101,19,23,30,24.6862745098039,7.5897017149502,3,22,43,29,3,0,1,1,1,99,0,77,24,66,36,102,0,0,0,0,12,81,2,12,81,2,38,39,40,38.6526315789474,1.77912494061303,2,27,5,14,45,78,24,78,24,95,7,0,25,4,39,4,6,3,4,0,0,11,100,0,2,0,0,47,55,1,1,1,99,0,9,83,10,2897,3190,3493.75,3207.26470588235,588.360617619632,6,75,13,1,98,8.84848484848485,0.81270066738504,0,102
2015,"MUNICIPIO",210015,170,122,135,1,46,52,43,23,5,0,0,0,169,19,23,28,23.7058823529412,5.41053876154855,3,19,72,55,1,8,6,2,0,148,0,36,121,98,72,154,4,0,2,2,9,119,23,13,119,23,38,39,40,39.0451612903226,2.81310000349448,1,66,17,15,56,154,16,95,63,155,1,1,55,5,46,2,22,1,0,4,1,10,166,0,4,0,0,85,85,8,2,0,149,0,12,145,11,3050,3342.5,3600,3329.4880952381,507.180429316215,11,104,19,3,161,9.68292682926829,0.781347723201295,0,163
2015,"MUNICIPIO",210020,160,83,95,3,43,59,34,15,4,2,0,0,157,19,22,27,23.13125,5.87192646754467,2,11,49,79,7,8,20,13,1,118,0,63,89,94,66,152,8,1,1,2,19,118,13,23,118,13,37,39,40,38.6038961038961,3.1026424141237,3,50,46,16,29,142,18,105,54,120,3,0,27,5,32,2,22,0,2,8,0,21,153,6,1,0,0,82,78,20,13,1,118,0,15,134,11,2846.25,3230,3586.75,3182.225,607.451330452016,13,101,25,6,115,8.92561983471074,1.31760698019932,3,154
2015,"MUNICIPIO",210030,433,328,344,8,107,138,86,58,27,8,1,0,425,19,23,29,24.3002309468822,6.41341367343009,4,95,181,122,7,12,6,13,1,412,0,302,130,298,135,428,5,1,2,1,55,315,35,59,315,35,38,39,40,38.7163814180929,2.62019880462004,1,139,68,68,98,297,136,294,138,416,16,0,90,6,167,6,66,5,10,5,0,53,408,10,11,4,0,236,197,6,13,1,412,0,33,377,23,2970,3270,3570,3227.00230946882,563.313570079219,33,306,50,1,429,9,0.409673245199351,1,432
2015,"MUNICIPIO",210040,102,89,93,3,20,31,24,16,5,2,1,0,99,20.25,24,29,25.0098039215686,6.9117421942078,1,9,35,44,4,8,9,3,0,86,1,35,65,60,42,98,4,0,0,1,15,82,4,16,82,4,38,39,40,38.6372549019608,2.09567785147287,0,30,11,8,49,100,2,50,52,101,1,0,33,4,25,1,18,0,1,4,0,16,97,2,2,1,0,44,58,9,3,0,86,1,8,87,7,2961.25,3332.5,3600,3247.80392156863,645.424828076315,5,79,13,1,101,9.00980392156863,1.00980439277498,1,101
2015,"MUNICIPIO",210043,469,347,363,9,140,145,110,46,14,4,1,0,460,19,22,27,23.1279317697228,5.82441150943442,16,54,177,195,8,9,16,2,0,434,1,160,288,286,183,459,10,0,3,3,51,364,37,57,364,37,38,39,40,38.8427947598253,2.49142126473966,1,165,54,39,147,29,440,249,220,449,19,1,137,16,139,6,87,9,8,10,1,45,459,2,7,1,0,262,207,16,2,0,434,1,42,398,29,2935,3280,3580,3225.95095948827,567.878722366303,35,346,53,4,457,9.71583514099783,0.838962096193494,0,469
2015,"MUNICIPIO",210047,492,382,402,9,154,145,96,62,22,3,1,0,483,18,22,27.25,23.2642276422764,6.08487999679243,8,47,158,256,6,5,63,36,2,387,0,128,347,354,138,483,8,1,3,9,38,411,29,51,411,29,38,39,40,38.7556008146639,2.67134151797032,1,152,59,74,186,39,453,298,194,426,29,24,93,11,184,10,81,9,19,7,24,39,486,1,5,0,0,245,247,64,36,2,389,0,32,433,27,2950,3300,3550,3243.55081300813,536.388051708491,32,378,58,8,442,9.37555555555556,1.08598185753826,2,490
